nom,ville
Haras de Chaouchaoua Jumenterie/Mod. (Tiaret) ,Tiaret
Ruines romaines dites ? El Habs El Ksour ? Formant le lot domanial n? 243 sommier de consistance d ?Azzazga Ruines/Ant. (Azzefoun) ,Tizi Ouzou
Mausol?e romain de Teksebt Mon.Fun./Ant. (Iflissen) ,Tizi Ouzou
Ruines romaines temples basiliques Ruines Mon.de Culte/Ant. (Tigzirt) ,Tizi Ouzou
R?sidence d'ouled Kaci Mon .Hist./Mod. (Tizi-ouzou) ,Tizi Ouzou
Le fort de Sabaou ou Bordj de Tizi-ouzou Fortification (Tizi-ouzou) ,Tizi Ouzou
La station hydraulique de Boghni Mon.Industrie/Mod (Illiten) ,Tizi Ouzou
Maison de Lalla Fatma N'soumer Mon.Comm?m./Mod. (Iferhounane) ,Tlemcen
Dolmens Bologhine Ibnou Ziri Mon.Fun/Pr?-.Hist (Bologhine) ,Alger
Inscription Romaine grav? sur une pierre encastr?e dans la fa?ade d'un immeuble situ? rue Bab Azzoun ? l'angle de la rue caftan Epigraphe/Ant (Casbah) ,Alger
Vestiges des Fortifications dites Bastion XI Fortif./Med. (Casbah ,Alger
Mosqu?e Ketchaoua Mon de Culte/Islam. (Casbah) ,Alger
Mosqu?e Ali Bitchin Mon de Culte/Islam (Casbah) ,Alger
Djam?a El Kebir Mon de Culte/Islam (Casbah) ,Alger
Mosqu?e Abderrahmane El-T?albi Mon de Culte/Islam (Casbah) ,Alger
Mosqu?e Sidi Ramdane Mon de Culte/Islam (Casbah) ,Alger
Casbah d'Alger Centre.Urb.Vivant/ Med. (Casbah) ,Alger
Djam?a Safir Mon. de Culte/Islam (Casbah Oued ?Koriche) ,Alger
Mosqu?e Mohamed Cherif Mon. de Culte/Islam (Casbah Oued Koriche) ,Alger
Marabout du ? Jardin Marengo ? connu sous le nom du Tombeau de la Reine Mon.Fun/ Islam (Casbah Oued Koriche) ,Alger
Marabout a coupole Hassen Pacha dit Ben Ali situ? rue du m?me nom. Mon.Fun/ Islam (Casbah Oued Koriche) ,Alger
Dar Hassen Pacha Demeure/Mod (Casbah Oued Koriche) ,Alger
Groupe de maisons mauresques (Bastion 23) ex. rue du 14 juin Demeures/Mod. (Casbah Oued Koriche) ,Alger
Dar Es Souf (ex. cour d'assises) Demeure/Mod (Casbah Oued Koriche) ,Alger
Dar Kkhaznadji ( ex Archev?ch?) Demeure/Mod (Casbah Oued Koriche) ,Alger
Dar Mustapha Pacha (ex Biblioth?que Nationale) Demeure/Mod Casbah (Oued Koriche Casbah) (Forteresse) Fortif./Mod. (Casbah Oued Koriche) ,Alger
Djam?a El Djedid Mon.de Culte/Islam. (Casbah Oued Koriche) ,Alger
Vertiges de l'enceinte de la Madina d'Alger qui comprend les Fronts ( Bab Azzoun) et Nord-Ouest ( Bab El Oued) El?ment de Fortif./Med (Casbah Oued Koriche) ,Alger
Porte turque de l'Arsenal Mon.d'Ac?e /Med. (Casbah Oued Koriche) ,Alger
Porte du penon Mon.d'Ac?e/Med (Oued Koriche Casbah) ,Alger
Fontaine de la cale aux vins Ouv.Hyd./Med (Oued Koriche) ,Alger
Fontaine de l'Amiraut? ?uvre d'art/Mod (Oued Koriche Casbah) ,Alger
Bible d'autel dans le temple protestant de la rue Chartes El?m.de Mon.DeCulte/Med (Oued Koriche Casbah) ,Alger
